Contact Centre,Transaction Type,Unit Group,Call Type Code_NEW,Call Type Code_OLD,Assignment group,Call Type,Service Group,Verification Status,Dept/MOE & Call Type,Short Description-Call Type,Org. Unit,Org. Unit Name,Priority,SLA Duration,SLA Unit,RULEGUID,Operating Hours,Paid Service ,Quotation,OLA,Escalation,Reminder,Contract,MANDATORY Forms / Supporting documents,Additional information,Electricity Response SLA,,,
Power Contact,Service Request,City Power Forcelink,20019,IME1,City Power Forcelink,BEES IN METER BOX,FIX MY CITY ,Unverified ,BEES IN ELECTRICITY METER BOX ,BEES-METER BOX,60000041,CITY POWER,P3,48,HOUR,5CA3D99F48150054E1000000A859B6B0,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20020,IME2,City Power Forcelink,GRASS CUTTING: SUBSTATION,FIX MY CITY ,Unverified ,GRASS CUTTING ELECTRICITY SUBSTATION ,GRASS CUTTING,60000041,CITY POWER,P5,112,HOUR,5CA3D9A048150054E1000000A859B6B0,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20021,NS,City Power Forcelink,NO SUPPLY,FIX MY CITY ,Unverified ,NO ELECTRICITY SUPPLY,NO SUPPLY,60000041,CITY POWER,P1,4,HOUR,5CA3D9A048150054E1000000A859B6B0,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20024,IMEI,City Power Forcelink,NOISY SUBSTATION,FIX MY CITY ,Unverified ,NOISY ELECTRICITY SUBSTATION,NOISY SUBSTATION,60000041,CITY POWER,P2,12,HOUR,5CA3D99F48150054E1000000A859B6B0,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20025,HPF2,City Power Forcelink,PHASES OFF,FIX MY CITY ,Unverified ,Electricity PHASES OFF,PHASES OFF,60000041,CITY POWER,P1,0,,5CA3D99F48150054E1000000A859B6B0,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20026,IMEG,City Power Forcelink,POWER OFF AFTER RESTORATION,FIX MY CITY ,Unverified ,POWER OFF AFTER ELECTRICITY RESTORATION ,POWER OFF,60000041,CITY POWER,P2,12,HOUR,5CA3D99F48150054E1000000A859B6B0,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20027,IMEQ,City Power Forcelink,STREET LIGHTS DIM,FIX MY CITY ,Unverified ,STREET LIGHTS DIM,DIM LIGHTS,60000041,CITY POWER,P5,168,HOUR,5CA3D9A048150054E1000000A859B6B0,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20028,IMEL,City Power Forcelink,STREET LIGHTS OFF - HIGHWAY / MAIN STR,FIX MY CITY ,Unverified ,STREET LIGHTS OFF ON HIGHWAY / MAIN STR,LIGHTS OFF-HIGHWAY,60000041,CITY POWER,P4,72,HOUR,5CA3D9A048150054E1000000A859B6B0,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20029,IMEO,City Power Forcelink,STREET LIGHTS OFF - SECONDARY ROAD,FIX MY CITY ,Unverified ,STREET LIGHTS OFF ON SECONDARY ROAD,LIGHTS OFF-SECONDARY,60000041,CITY POWER,P5,168,HOUR,5CA3D9A048150054E1000000A859B6B0,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20030,IMEN,City Power Forcelink,STREET LIGHTS ON DURING DAY,FIX MY CITY ,Unverified ,STREET LIGHTS ON DURING DAY,LIGHTS ON-DAYTIME,60000041,CITY POWER,P3,48,HOUR,5CA3D9A048150054E1000000A859B6B0,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20031,IMEP,City Power Forcelink,STREET LIGHTS SECTION OUT,FIX MY CITY ,Unverified ,STREET LIGHTS SECTION OUT,LIGHTS OUT,60000041,CITY POWER,P4,72,HOUR,5CA3D99F48150054E1000000A859B6B0,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20032,MTR2,City Power Forcelink,BURNT METER,FIX MY CITY,Unverified ,BURNT ELECTRICITY METER,BURNT METER,60000041,CITY POWER,P5,112,HOUR,5CA3D99F48150054E1000000A859B6B0,24x7,No,No,21 working days,"- first to technician
- second escalation to team leader 
- escalations accepted once turn around time has passed ",,,,"- Citizen to receive ref number after logging their call (Electricity number-Call centre desk, or ElectricityWEB number - logged on WEB, or an 800 number-SAP)",21 working days,,,
Power Contact,Service Request,City Power Forcelink,20033,MTR4,City Power Forcelink,METER DAMAGED,FIX MY CITY,Unverified ,Electricity METER DAMAGED,DAMAGED METER,60000041,CITY POWER,P5,112,HOUR,5CA3D9A148150054E1000000A859B6B0,24x7,No,No,21 working days,,,,,,21 working days,,,
Power Contact,Service Request,City Power Forcelink,20034,MTR3,City Power Forcelink,METER NOT WORKING,FIX MY CITY,Unverified ,Electricity METER NOT WORKING,METER STOLEN,60000041,CITY POWER,P5,112,HOUR,5CA3D99F48150054E1000000A859B6B0,24x7,No,No,7 working days ,,,,,,7 working days ,,,
Power Contact,Service Request,City Power Forcelink,20036,IP10,City Power Forcelink,PREPAID CUSTOMER BOUGHT UNITS WITH OLD METER,FIX MY CITY,Unverified ,PREPAID ELECTRICITY CUSTOMER BOUGHT UNITS WITH OLD METER,PREPAID-OLD METER,60000041,CITY POWER,P2,24,HOUR,5CA3D9A248150054E1000000A859B6B0,24x7,,,,,,,,,,,,
