Contact Centre,Transaction Type,Unit Group,Call Type Code_NEW,Call Type Code_OLD,Assignment group,Call Type,Service Group,Verification Status,Dept/MOE & Call Type,Short Description-Call Type,Org. Unit,Org. Unit Name,Priority,SLA Duration,SLA Unit,RULEGUID,Operating Hours,Paid Service ,Quotation ,"OLA 
Still awaiting",Escalation,Reminder,Contract,MANDATORY Forms / Supporting documents,Additional information,,,
Water Contact,Service Request,Joburg Water Forcelink,10096,CPFB,Joburg Water Forcelink,,FIX MY CITY,Unverified ,PREPAID NO FREE BASIC WATER,NO FREE BASIC WATER,60000042,JOHANNESBURG WATER,P2,24,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,Very Low ,P5,above  72 hours 
Water Contact,Service Request,Joburg Water Forcelink,10097,CPFT,Joburg Water Forcelink,,FIX MY CITY,Unverified ,PREPAID FAULTY TAG/CARD,FAULTY TAG/CARD,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10098,CPLP,Joburg Water Forcelink,,FIX MY CITY,Unverified ,PREPAID LOW PRESSURE,LOW PRESSURE,60000042,JOHANNESBURG WATER,P2,24,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10099,CPMD,Joburg Water Forcelink,,FIX MY CITY,Unverified ,PREPAID MISSING/DAMAGED TAG/CA,MISSING/DAMAGED TAG/CA,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10100,CPML,Joburg Water Forcelink,,FIX MY CITY,Verified ,PREPAID METER LEAKING,METER LEAKING,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10101,CPMT,Joburg Water Forcelink,,FIX MY CITY,Unverified ,PREPAID METER TAMPER,METER TAMPER,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10102,CPNT,Joburg Water Forcelink,,FIX MY CITY,Unverified ,PREPAID NO TAG/CARD,NO TAG/CARD,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10103,CPNW,Joburg Water Forcelink,,FIX MY CITY,Unverified ,PREPAID NO WATER,NO WATER,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10104,CPTI,Joburg Water Forcelink,,FIX MY CITY,Unverified ,PREPAID TARRIFS INVESTIGATION,TARRIFS INVESTIGATION,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10105,CPVM,Joburg Water Forcelink,,FIX MY CITY,Verified ,PREPAID METER VALVE MALFUNCTIO,METER VALVE MALFUNCTIO,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
