Contact Centre,Transaction Type,Unit Group,Call Type Code_NEW,Call Type Code_OLD,Assignment group,Call Type,Service Group,Verification Status,Dept/MOE & Call Type,Short Description-Call Type,Org. Unit,Org. Unit Name,Priority,SLA Duration,SLA Unit,RULEGUID,Operating Hours,Paid Service ,Quotation ,"OLA 
Still awaiting",Escalation,Reminder,Contract,MANDATORY Forms / Supporting documents,Additional information,,,
Water Contact,Service Request,Joburg Water Forcelink,10160,W19,Joburg Water Forcelink,,FIX MY CITY,Unverified ,M:METER DIAL DIRTY UNCLEAR,METER DIAL DIRTY UNCLEAR,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10161,W20,Joburg Water Forcelink,,FIX MY CITY,Unverified ,M:METER TURNING BACKWARDS,METER TURNING BACKWARDS,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10162,W21,Joburg Water Forcelink,,FIX MY CITY,Unverified ,M:METER TO BE RAISED/LOWERED,METER TO BE RAISED/LOWERED,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10163,W22,Joburg Water Forcelink,,FIX MY CITY,Unverified ,M:METER MISSING/PLS INVESTIGAT,METER MISSING,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10164,W30,Joburg Water Forcelink,,FIX MY CITY,Unverified ,M:CLEAN METER BOX,CLEAN METER BOX,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10165,W41,Joburg Water Forcelink,,FIX MY CITY,Unverified ,M:METER INVESTIG/METER TO MOVE,METER INVESTIG/METER TO MOVE,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10166,W56,Joburg Water Forcelink,,FIX MY CITY,Unverified ,M:METER DAMAGED FAULTY/VANDALI,METER DAMAGED FAULTY/VANDALI,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10167,WSM,Joburg Water Forcelink,,JOBURG SERVICES (Service Request),"Proxy, Verified",M:STOLEN METER,STOLEN METER,60000042,JOHANNESBURG WATER,P2,24,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10168,C160F,Joburg Water Forcelink,,JOBURG SERVICES (Service Request),"Proxy, Verified",CLOSE F/H PER OWNERS REQUEST,CLOSE F/H ,60000042,JOHANNESBURG WATER,P2,24,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10169,C330,Joburg Water Forcelink,,FIX MY CITY,Unverified ,W:FIRE HYDRANT LEAK/MAINTENANC,FIRE HYDRANT LEAK,60000042,JOHANNESBURG WATER,P3,48,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10170,NFH,Joburg Water Forcelink,,FIX MY CITY,Unverified ,REQUEST NEW FIRE HYDRANT,NEW FIRE HYDRANT,60000042,JOHANNESBURG WATER,P2,24,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10171,W27,Joburg Water Forcelink,,FIX MY CITY,Unverified ,W:LOCATE FIRE HYDRANT,LOCATE FIRE HYDRANT,60000042,JOHANNESBURG WATER,P2,24,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10172,W32,Joburg Water Forcelink,,FIX MY CITY,Unverified ,W:LOCATE VALVE,LOCATE VALVE,60000042,JOHANNESBURG WATER,P2,24,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10173,W53,Joburg Water Forcelink,,FIX MY CITY,Unverified ,W:LEAKING VALVE,LEAKING VALVE,60000042,JOHANNESBURG WATER,P5,96,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10174,S50,Joburg Water Forcelink,,FIX MY CITY,Unverified ,S:REQUEST FOR DESLUDGING VIP (INFORMAL H,REQUEST FOR DESLUDGING VIP (INFORMAL H,60000042,JOHANNESBURG WATER,P5,96,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10175,C161,Joburg Water Forcelink,,FIX MY CITY,Unverified ,CLOSE WATER METER: NON BILLABLE,CLOSE WATER METER,60000042,JOHANNESBURG WATER,P5,336,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
